,source,target,ShpName,post_type,shape_leng,st_label,betweenness_e,physicalid
0,"(-74.01793061274537, 40.706174865639746)","(-74.01757437049282, 40.706839867152155)",CSCL_MN,PL,262.77781228,BATTERY PL,7916.0,3.0
1,"(-74.01793061274537, 40.706174865639746)","(-74.01869417782103, 40.7065117604588)",CSCL_MN,PL,244.710003881,1 PL,6726.0,30.0
2,"(-74.01793061274537, 40.706174865639746)","(-74.01699521616094, 40.70580004366777)",CSCL_MN,PL,293.100272872,1 PL,2.0,29.0
3,"(-74.01793061274537, 40.706174865639746)","(-74.01733871844998, 40.70489484201877)",CSCL_MN,PL,534.313737798,BATTERY PL,6472.0,173026.0
4,"(-74.01757437049282, 40.706839867152155)","(-74.01712051881411, 40.70746253088075)",CSCL_MN,PL,259.415988519,BATTERY PL,20824.0,5.0
5,"(-74.01757437049282, 40.706839867152155)","(-74.01795864339206, 40.70700064826035)",CSCL_MN,PL,121.581979467,2 PL,6726.0,83678.0
6,"(-74.01757437049282, 40.706839867152155)","(-74.0167321819217, 40.70648375950861)",CSCL_MN,PL,267.122870054,2 PL,6.0,122850.0
7,"(-74.01712051881411, 40.70746253088075)","(-74.01662578576105, 40.708133934649545)",CSCL_MN,PL,280.444780871,BATTERY PL,49736.0,6.0
8,"(-74.01712051881411, 40.70746253088075)","(-74.01645624919013, 40.70718830500687)",CSCL_MN,PL,209.523204774,3 PL,15882.0,97698.0
9,"(-74.01712051881411, 40.70746253088075)","(-74.01750342243615, 40.7076239801223)",CSCL_MN,PL,121.366371013,3 PL,6726.0,97697.0
10,"(-74.01662578576105, 40.708133934649545)","(-74.01739796591468, 40.708457409947115)",CSCL_MN,ST,244.378911174,W THAMES ST,1971.0,24.0
11,"(-74.01662578576105, 40.708133934649545)","(-74.01616698119132, 40.7079046152353)",CSCL_MN,ST,152.186450827,W THAMES ST,57667.0,25.0
12,"(-74.01693786186667, 40.704813986596974)","(-74.01704963744208, 40.70483662931333)",CSCL_MN,PL,32.0701391509,BATTERY PL,48343.0,8.0
13,"(-74.01693786186667, 40.704813986596974)","(-74.01681045314301, 40.705136907633076)",CSCL_MN,ST,122.838753676,WEST ST,14229.0,129611.0
